[2023-08-25 07:37:16] [23] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithUpperCaseEmail] STARTED at [07:37:16 2023-08-25]
[2023-08-25 07:37:16] [23] [INFO] Setting default IDP method to call
[2023-08-25 07:37:16] [23] [INFO] Setting up IDP method to SIGN_UP
[2023-08-25 07:37:16] [23] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-25 07:37:16] [23] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-25 07:37:16] [23] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Request params:	<none>
Query params:	key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "LIFEFITNESSPOSTMAN+75637626@GMAIL.COM",
    "password": "vc6c9dfyp30kje"
}
HTTP/1.1 200 OK
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Pragma: no-cache
Date: Fri, 25 Aug 2023 07:37:16 GMT
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6IjYzODBlZjEyZjk1ZjkxNmNhZDdhNGNlMzg4ZDJjMmMzYzIzMDJmZGUiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1kZXYiLCJhdWQiOiJsZmNvLWRldiIsImF1dGhfdGltZSI6MTY5Mjk0OTAzNiwidXNlcl9pZCI6InVNS2V1T3RMdkNWejR1N1pqeFRqYVBIYWZPeTIiLCJzdWIiOiJ1TUtldU90THZDVno0dTdaanhUamFQSGFmT3kyIiwiaWF0IjoxNjkyOTQ5MDM2LCJleHAiOjE2OTI5NTI2MzYsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzc1NjM3NjI2QGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rNzU2Mzc2MjZAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.BJ3ePLTExBVs3fxZtdwK5mKeB0Av2rlIGXX3TeKwwkfRV5vZm1C7OAeeEL3pVSRAdNG_x7Bsh-D4cIxZUXtD0FEgpAzyAz4etJA5cvrpfpH3AxkvxBm-YCYxn4_oY2jgbL6tHa7XWQEYOvgQNuTDFo-_MpqcFw2uNRdkXvbzirwN09gIe6dDbHArdi4xAJ9hHaDWO9SU8P7n1IZEoHc2UPF6pXoYOsTISDVQwHewn3F1HLpTcweIHnWEd258Oso1u1Wsd3tQr8lr1QbBoDvzJDl5ZPCIi2Ls9A95dzJjTtoXSFDE6o8GDPRHY0h6JOKmx3EOfAJG18dbwBIQTzenmg",
    "email": "lifefitnesspostman+75637626@gmail.com",
    "refreshToken": "AMf-vBw3FgAvY71_8OsJFbduvS67ELcf5WQlQFbhPSEh2NfKUTEMxuyNsbsXthuTfh4eAIuCsjFbNA2HgbFHNBzRTNhlitkNZbEvKEA3E-4CK4mjq1iwxIjTbgiclUxdjdgC8y_S0aABZdhKB8RM9wuZn6DCd42bkVYz1ybWmdBITVTnGQnNupq2Ch2SCjDY9y0IsM_rm3FEfNMUICqaABH9VQ25c-1yaA",
    "expiresIn": "3600",
    "localId": "uMKeuOtLvCVz4u7ZjxTjaPHafOy2"
}

[2023-08-25 07:37:16] [23] [INFO] Trying to parse IDP response to access token model
[2023-08-25 07:37:17] [23] [INFO] Request method:	POST
Request URI:	https://dev-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=LIFEFITNESSPOSTMAN%2B75637626%40GMAIL.COM
Request params:	<none>
Query params:	email=LIFEFITNESSPOSTMAN+75637626@GMAIL.COM
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=P3jxJislR3PNt1P1gQxXepwRY8RiHGTps+Yld/5Ot50=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: d8740d6313df27dcae8c7023c513acd6
Date: Fri, 25 Aug 2023 07:37:17 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-25 07:37:17] [23] [INFO] Assert that api call was successful
[2023-08-25 07:37:17] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:18] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:18] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:19] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:20] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:20] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:21] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:21] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:22] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:22] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:23] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:23] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:24] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:24] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:25] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:26] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:26] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:27] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:27] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:28] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:28] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:29] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:29] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:31] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:37:54] [23] [INFO] Waiting for 0.5 sec till email comes
